WORKSPACE,ITEM,SCHEMA
EMEA_GDP_DBT_POC_ITA,bronze_lh_ita,finance
EMEA_GDP_DBT_POC_ITA,bronze_lh_ita,sales
EMEA_GDP_DBT_POC_ITA,silver_lh_ita,finance
EMEA_GDP_DBT_POC_ITA,silver_lh_ita,sales
EMEA_GDP_DBT_POC_ITA,gold_lh_ita,finance
EMEA_GDP_DBT_POC_ITA,gold_lh_ita,sales
EMEA_GDP_DBT_POC_CHE,bronze_wh_che,finance
EMEA_GDP_DBT_POC_CHE,bronze_wh_che,sales
EMEA_GDP_DBT_POC_CHE,silver_wh_che,finance
EMEA_GDP_DBT_POC_CHE,silver_wh_che,sales
EMEA_GDP_DBT_POC_CHE,gold_wh_che,finance
EMEA_GDP_DBT_POC_CHE,gold_wh_che,sales
EMEA_GDP_DBT_POC_GLB,gold_wh_glb_finance,dbo
EMEA_GDP_DBT_POC_GLB,gold_wh_glb_sales,dbo
